,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
connectivity_group,synthetic,direct_no_coordinates,connected,0.05673555978970468,0.009567556019070092,0.09931599355717007,0.026158919862716512,-0.32359570469344145,0.6279603526168243,0.5129467125285695,0.06351017694133226
connectivity_group,synthetic,direct_no_coordinates,disconnected,0.19558793810950148,0.07631749465704564,0.39681043449517023,0.0941312668218574,,,0.0,0.0
connectivity_group,synthetic,direct_no_fiedler,connected,0.06902800309273391,0.019547121369802117,0.11952138192401444,0.059289668186546636,-1.1758182253879492,2.2840313299954356,0.5107379003839438,0.05335955364812538
connectivity_group,synthetic,direct_no_fiedler,disconnected,0.1750899408623075,0.09221929573356771,0.37418980089790355,0.09348570394692222,,,0.0,0.0
connectivity_group,synthetic,residual_full,connected,0.04528320553540437,0.01658497435465343,0.08581798152346407,0.03776575817330575,-0.01479406389177067,0.7573468708194911,0.6707614875835186,0.13430475583958676
connectivity_group,synthetic,residual_full,disconnected,0.17093534919039374,0.05911209815929671,0.3509420209900979,0.06418536135258694,,,0.0,0.0
connectivity_group,synthetic,residual_no_coordinates,connected,0.040262539041998516,0.011985738772677798,0.08421233091566321,0.046081808873298755,-0.08382409162123998,1.2396675731753468,0.7258405884270307,0.059051369170148436
connectivity_group,synthetic,residual_no_coordinates,disconnected,0.16655992959195576,0.06048968760590078,0.3513939659905187,0.06404343415977543,,,0.0,0.0
connectivity_group,synthetic,residual_no_fiedler,connected,0.04335090869746313,0.011703514181553758,0.07855548324561916,0.02999994484460295,0.18929516126859183,0.5138270117528544,0.7120299393340255,0.04918259314290572
connectivity_group,synthetic,residual_no_fiedler,disconnected,0.17542930333074233,0.07650923554942252,0.35899785265731665,0.07697843531491223,,,0.0,0.0
connectivity_group,synthetic,spectral,connected,0.023892736837161817,0.009562179006178437,0.06608791633520103,0.02600842327562565,0.4709136278793819,0.14909166730347934,0.9640387981177547,0.010341087680398748
connectivity_group,synthetic,spectral,disconnected,0.879036615394949,0.02478116490960342,0.8988950174337355,0.023467840540279145,,,0.0,0.0
connectivity_group,synthetic,summary_mlp,connected,0.06618369873346205,0.020317663426058362,0.12057847515232564,0.04340143058143118,-0.9146349847259829,0.9541035916015356,0.37160959929197596,0.12307410057198072
connectivity_group,synthetic,summary_mlp,disconnected,0.284722026796328,0.06107226803115678,0.4556243066575859,0.050582148143474025,,,0.0,0.0
density_quartile,osm,deepsets,Q1,0.11264223640243509,0.024056484433374912,0.2144153558391552,0.0343401122844723,0.7827597161797886,0.07190789903357034,0.7549889285983238,0.04121544613762477
density_quartile,osm,deepsets,Q2,0.12126928553434405,0.025381120587363255,0.2504068327691775,0.03221977702610352,0.6738558860776808,0.0925414444085356,0.8177089003177539,0.020614666273344153
density_quartile,osm,deepsets,Q3,0.10366896372932469,0.015798891797114575,0.22397539160362748,0.022213344142559644,0.7665182697378115,0.04646180836862673,0.8091698774020651,0.019606799008166448
density_quartile,osm,deepsets,Q4,0.18237345423587797,0.02217540886838649,0.3487831997029949,0.025447864270311735,0.07337567489771242,0.15060592032722456,0.6417278454517268,0.033509175690301145
density_quartile,osm,direct_full,Q1,0.08589207152277174,0.024645813488292232,0.22647490308758034,0.04804211001219889,0.7568918923721693,0.10598389977641456,0.8696357047502724,0.023460280614041668
density_quartile,osm,direct_full,Q2,0.0955493749188701,0.0515151063782375,0.24727065650852334,0.08410270166054055,0.6833114270606044,0.23129492896474127,0.8495192439642428,0.04390310827752294
density_quartile,osm,direct_full,Q3,0.054821317550058236,0.03018489355901974,0.13384452642873337,0.07638513242700729,0.8909965924003341,0.12760683600593736,0.8794664219442323,0.023908111205285586
density_quartile,osm,direct_full,Q4,0.19803562116354678,0.015669424581492068,0.40021225600084254,0.016754378318822274,-0.842691878370031,0.07510286299437739,0.6282079843712827,0.06087125486482506
density_quartile,osm,direct_no_coordinates,Q1,0.07768684688388336,0.016563344356596236,0.21303379382237403,0.03365580596399547,0.785808535778822,0.06326268181242133,0.8594139825594105,0.024165939203737576
density_quartile,osm,direct_no_coordinates,Q2,0.09845315654223258,0.03401728825485412,0.2579181764394874,0.05681823863317154,0.6583048732727678,0.15502728248801037,0.8853594773951177,0.0435472484221477
density_quartile,osm,direct_no_coordinates,Q3,0.051569444940000375,0.024196518957485827,0.13442542539193267,0.06138549938774885,0.8982181723302185,0.0974665673502764,0.8858085190112449,0.021110538462182672
