seed,domain,model,group,mae,rmse,r2,spearman,analysis
22,synthetic,residual_full,Q1,0.051085014777094026,0.11334880012584858,0.8348665158701362,0.7015078849043377,density_quartile
22,synthetic,residual_full,Q2,0.025788596872756496,0.04929751569532195,0.9612385602193907,0.8553025295763511,density_quartile
22,synthetic,residual_full,Q3,0.044896130211818625,0.10571222705776252,0.8270457806474933,0.7102132676446197,density_quartile
22,synthetic,residual_full,Q4,0.02698203112680809,0.09916490311636986,0.40516449577911584,0.6816188111805317,density_quartile
22,synthetic,residual_no_coordinates,Q1,0.049041243463564456,0.1096592424877971,0.8454418991139934,0.7406249931473659,density_quartile
22,synthetic,residual_no_coordinates,Q2,0.02369197131875269,0.04145563547640046,0.9725894981959257,0.8793129561459782,density_quartile
22,synthetic,residual_no_coordinates,Q3,0.0437571840314332,0.1031530621531596,0.8353184422552622,0.7824772977093798,density_quartile
22,synthetic,residual_no_coordinates,Q4,0.027750105940196813,0.09916285742308407,0.40518903749513724,0.7301518659363597,density_quartile
22,synthetic,residual_no_fiedler,Q1,0.05747990849690997,0.12274098931112487,0.8063664852572215,0.6864555039686308,density_quartile
22,synthetic,residual_no_fiedler,Q2,0.025473285801306582,0.04288760350271819,0.9706631560418687,0.8578953800075295,density_quartile
22,synthetic,residual_no_fiedler,Q3,0.04722119035674794,0.11962883454451494,0.778510848016379,0.7308593267494112,density_quartile
22,synthetic,residual_no_fiedler,Q4,0.02860457307012725,0.09890707444568655,0.40825361838667995,0.6963356113948039,density_quartile
22,synthetic,spectral,Q1,0.09009244739770467,0.24086483280959078,0.25432757753695745,0.8715362075425523,density_quartile
22,synthetic,spectral,Q2,0.08219567827739604,0.24118585136451817,0.07220188230596603,0.9264693711775698,density_quartile
22,synthetic,spectral,Q3,0.08348528392888624,0.2460029843099126,0.06338422494092943,0.9429762492026897,density_quartile
22,synthetic,spectral,Q4,0.020128227582009696,0.09760319175951664,0.42375265346596036,0.9856622856984075,density_quartile
22,synthetic,summary_mlp,Q1,0.08437524211072868,0.18029167944905541,0.5822151778398426,0.35295590456940623,density_quartile
22,synthetic,summary_mlp,Q2,0.04989129109454067,0.0735367404687005,0.9137501032107862,0.7014589479967671,density_quartile
22,synthetic,summary_mlp,Q3,0.07347145326789319,0.15210118702123837,0.641948148677951,0.3122134252731035,density_quartile
22,synthetic,summary_mlp,Q4,0.055634845757397515,0.12281815952169073,0.08755631712695522,0.24491497175177085,density_quartile
33,osm,deepsets,Q1,0.11780197621505435,0.21730852105417922,0.7853750636221459,0.765728840463509,density_quartile
33,osm,deepsets,Q2,0.14455002507485928,0.25829625527565153,0.6410307630753296,0.8205262334224429,density_quartile
33,osm,deepsets,Q3,0.12511233660197485,0.2539394747744455,0.7018076808180186,0.7939079815727799,density_quartile
33,osm,deepsets,Q4,0.21499043043539737,0.3800103419687231,-0.09653501402994458,0.5877747988850667,density_quartile
33,osm,direct_full,Q1,0.08781835700650388,0.20869055837396094,0.7977785703620951,0.8334582848864923,density_quartile
33,osm,direct_full,Q2,0.08114376225930701,0.20521676772185346,0.788833540834058,0.7850326704814581,density_quartile
33,osm,direct_full,Q3,0.045991251720502134,0.07669643899378877,0.9715050273566483,0.894642927204177,density_quartile
33,osm,direct_full,Q4,0.19734002346343246,0.4019741825438018,-0.8336002632268649,0.5559722742642595,density_quartile
33,osm,direct_no_coordinates,Q1,0.09021598876969605,0.2281663135515229,0.7616617530869156,0.8468927338324642,density_quartile
33,osm,direct_no_coordinates,Q2,0.12316866853651141,0.2876798758943177,0.5765779889045859,0.8232672282680238,density_quartile
33,osm,direct_no_coordinates,Q3,0.04612747206507684,0.1098108568687085,0.9415871488459806,0.8851524740279685,density_quartile
33,osm,direct_no_coordinates,Q4,0.22540615772263742,0.41782051368266043,-0.9810154315203037,0.5779550699649357,density_quartile
33,osm,direct_no_fiedler,Q1,0.07642939261395196,0.2068967591237285,0.8012400174563103,0.8668723313313779,density_quartile
33,osm,direct_no_fiedler,Q2,0.09580108090569622,0.2601434912888243,0.6606677156421781,0.8388109827697344,density_quartile
33,osm,direct_no_fiedler,Q3,0.034212137235750645,0.07324216689566475,0.9740139533855237,0.8910850897895551,density_quartile
33,osm,direct_no_fiedler,Q4,0.1771044590038876,0.3810841785492895,-0.6479733275746671,0.6084397239314004,density_quartile
33,osm,residual_full,Q1,0.05078070176346297,0.1696512050328251,0.8691901147238046,0.9275953957181593,density_quartile
33,osm,residual_full,Q2,0.08874498233416435,0.22945372427651048,0.7267303724865476,0.9195089543405877,density_quartile
33,osm,residual_full,Q3,0.024404274301330516,0.06100095558504046,0.9819743422616187,0.9670510294435751,density_quartile
33,osm,residual_full,Q4,0.18230860518216652,0.3848520871460883,-0.6807225756706434,0.6338148491930485,density_quartile
33,osm,residual_no_coordinates,Q1,0.07123104381217152,0.22402365849405667,0.771905697187518,0.9055625941608892,density_quartile
33,osm,residual_no_coordinates,Q2,0.10357749175394547,0.25088935502496246,0.6613231731434184,0.939094143049311,density_quartile
33,osm,residual_no_coordinates,Q3,0.10134843625721601,0.27488189268113006,0.6500736771772224,0.8867375560763645,density_quartile
33,osm,residual_no_coordinates,Q4,0.24574158958536535,0.4577284979325104,-1.3775203651129484,0.6151866850760245,density_quartile
33,osm,residual_no_fiedler,Q1,0.04933882692469743,0.17112648268518996,0.866905191653245,0.9330400660253494,density_quartile
33,osm,residual_no_fiedler,Q2,0.08551362606426695,0.22851481246980407,0.7310123650738923,0.9497352612149872,density_quartile
33,osm,residual_no_fiedler,Q3,0.024409713924025463,0.07638154642812675,0.972984956614649,0.9648787371813806,density_quartile
33,osm,residual_no_fiedler,Q4,0.17317333106301766,0.3785279810108607,-0.6259392607786465,0.6703781168921553,density_quartile
33,osm,spectral,Q1,0.4198905235046957,0.6256542069346968,-0.7790797050323706,0.4627534145988601,density_quartile
