area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
cantho,Vietnam,114.0,178.0,44,targeted,direct_full,0.09404582470176732,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,direct_sage,0.09630629969549807,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,residual_edge_mpnn,0.07427086185338523,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,residual_full,0.07374282631136034,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,residual_sage,0.07800435118876678,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,spectral,0.28519337477804385,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,44,targeted,spectral_second_order,0.2792634551182535,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,direct_edge_mpnn,0.06351639802172673,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,direct_full,0.04479548619610283,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,direct_sage,0.0486594676096718,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,residual_edge_mpnn,0.27170006018861553,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,residual_full,0.034487435177885016,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,residual_sage,0.035843653892093,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,spectral,0.24780740565806214,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,independent,spectral_second_order,0.24503931879175794,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,direct_edge_mpnn,0.2032626303330817,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,direct_full,0.241931290519326,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,direct_sage,0.18397677425750997,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,residual_edge_mpnn,0.6691285544533727,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,residual_full,0.059357614181201945,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,residual_sage,0.10382858394221528,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,spectral,0.6460035939537063,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,spatial_cluster,spectral_second_order,0.6408863166532353,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,direct_edge_mpnn,0.06625978877102365,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,direct_full,0.05770195610405243,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,direct_sage,0.0637443634592179,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,residual_edge_mpnn,0.293818325724771,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,residual_full,0.03267550264750145,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,residual_sage,0.028168422973570445,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,spectral,0.24061099518448587,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,55,targeted,spectral_second_order,0.23607612746592072,20,1.1845383241700216
chiang_mai,Thailand,1259.0,1661.0,11,independent,direct_edge_mpnn,0.06743594663635041,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,independent,direct_full,0.11119547164485002,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,independent,direct_sage,0.11306396792128826,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,independent,residual_edge_mpnn,0.08800977910005522,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,independent,residual_full,0.10958065025770194,20,0.4949533208801417
chiang_mai,Thailand,1259.0,1661.0,11,independent,residual_sage,0.10446835492822566,20,0.4949533208801417
